predicted_labels	true_labels	lil_interpretations	gil_interpretations
5	5	[('to aspen', -0.7417865693569183), ('from denver', -0.7873714566230774), ('from denver to aspen', -0.8817115500569344)]	['What exactly is radiation ?', 'What city does Orly Airport serve ?']
4	4	[('modest ##o', -0.8364709615707397), ('modest ##o , california', -0.9606691412627697)]	"[""What is `` Vocal Sampling '' ?"", ""What is `` flintknapping '' ?""]"
3	3	[('was galileo', -0.6971350312232971), ('who was galileo', -0.723871260881424)]	['Who were the 1974 Oscar winners ?', 'Name the largest country in South America']
2	2	[('an atom', -0.7769851386547089), ('is an atom', -0.8561082780361176), ('what is an atom', -0.9109654054045677)]	"[""Why can 't ostriches fly ?"", 'What is a portal ?']"
5	5	[('a state', -0.6950382888317108)]	['What city does Orly Airport serve ?', 'What province is Edmonton located in ?']
5	5	[('the sears', -0.8548924773931503), ('the sears building', -0.8843368217349052), ('is the sears building', -0.9471287280321121)]	['What exactly is radiation ?', 'What is paracetamol ?']
3	3	[('in which', -0.6916221082210541), ('a small interest', -0.7329585552215576), ('baseball team', -0.7499053776264191), ('in which baseball team', -0.7687850594520569)]	['Name the largest country in South America', 'Who were the 1974 Oscar winners ?']
1	1	[]	"[""Why can 't ostriches fly ?"", 'What U.S. Government agency registers trademarks ?']"
2	2	[('turn orange', -0.6531482636928558)]	['Where is Romania located ?', 'What is a portal ?']
2	2	[('is autism', -0.8132282197475433), ('what is autism', -0.8839815929532051)]	"[""Why can 't ostriches fly ?"", 'What is a portal ?']"
4	4	[('in 1900', -0.8496946543455124), ('a world fair', -0.9408553503453732)]	"[""What is `` Vocal Sampling '' ?"", ""What is `` flintknapping '' ?""]"
3	3	"[(""person ' s"", -0.739602118730545), ('a dime', -0.7451808750629425), ('on a dime', -0.7922210544347763), ('is on a dime', -0.8242438435554504)]"	['Name the largest country in South America', 'Who were the 1974 Oscar winners ?']
5	5	[('a yellow labrador', -0.7056889235973358), ('of a yellow labrador', -0.8190007358789444)]	['What is a Canada two-penny black ?', 'How much does a poodle weigh ?']
3	3	[('the pacific ocean', -0.7603698968887329), ('across the pacific ocean', -0.7644495517015457)]	['Who were the 1974 Oscar winners ?', 'Name the largest country in South America']
5	5	[('a state', -0.7318842709064484)]	['What city does Orly Airport serve ?', 'What province is Edmonton located in ?']
5	5	[('for cricket ##s', -0.7584547251462936), ('for cricket', -0.7758092731237411)]	['What exactly is radiation ?', 'How fast is a 45Mhz processor ?']
1	1	[('the highest melting point', -0.876758761703968)]	"[""Why can 't ostriches fly ?"", 'What U.S. Government agency registers trademarks ?']"
3	3	[('against pol ##io', -0.5895891189575195), ('pol ##io', -0.5925533473491669)]	['Name the largest country in South America', 'Who were the 1974 Oscar winners ?']
2	2	[('ep ##ile ##psy', -0.8460382223129272), ('is ep ##ile ##psy', -0.8981312066316605)]	"['What is a portal ?', ""Why can 't ostriches fly ?""]"
5	5	[('the titanic', -0.8138041347265244), ('did the titanic sink', -0.9097977578639984)]	['What city does Orly Airport serve ?', 'What exactly is radiation ?']
3	3	[('in space', -0.6482456624507904), ('walk in space', -0.6728723347187042), ('to walk in space', -0.7154344618320465)]	['Name the largest country in South America', 'Who were the 1974 Oscar winners ?']
2	2	[('a bio ##sphere', -0.8954025134444237), ('is a bio ##sphere', -0.9473683796823025)]	['What is a portal ?', 'Where is Romania located ?']
4	4	[('the us', -0.8758725374937057), ('in the us', -0.9339674636721611), ('the big muddy', -0.9362445846199989), ('as the big muddy', -0.966091226786375)]	"[""What is `` Vocal Sampling '' ?"", 'How many Gutenberg Bibles are there ?']"
2	2	[('bipolar disorder', -0.8222713321447372), ('is bipolar disorder', -0.8897068798542023), ('what is bipolar disorder', -0.935906745493412)]	['What is a portal ?', 'Where is Romania located ?']
2	2	[('cho ##les ##terol', -0.8973710387945175), ('is cho ##les ##terol', -0.9487324729561806)]	"[""Why can 't ostriches fly ?"", 'What is a portal ?']"
3	3	[('the macintosh computer', -0.7696054875850677), ('developed the macintosh computer', -0.7796090096235275)]	['Name the largest country in South America', 'Who were the 1974 Oscar winners ?']
2	2	[('caf ##fe ##ine', -0.8931913822889328), ('is caf ##fe ##ine', -0.9415436908602715)]	"['What is a portal ?', ""Why can 't ostriches fly ?""]"
4	4	[('north and south', -0.6677790284156799)]	['What is a portal ?', 'What is an aurora ?']
4	4	[('john wayne', -0.8689812570810318), ('john wayne airport', -0.9366497248411179)]	"[""What is `` Vocal Sampling '' ?"", ""What is `` flintknapping '' ?""]"
4	4	[('the philippines', -0.8528043478727341), ('is the philippines in', -0.9536301009356976)]	"[""What does `` Philebus-like '' mean ?"", ""What is `` Vocal Sampling '' ?""]"
5	5	[('the kentucky derby', -0.8000560253858566), ('the horses', -0.8257273286581039), ('at the kentucky derby', -0.8701762557029724), ('of the horses', -0.9023167714476585)]	['How much does a poodle weigh ?', 'When was Ozzy Osbourne born ?']
4	4	[('the rocky mountains', -0.8997432366013527)]	"[""What is `` Vocal Sampling '' ?"", ""What is `` flintknapping '' ?""]"
2	2	[('are invertebrates', -0.7801548093557358), ('what are invertebrates', -0.8212862759828568)]	"[""Why can 't ostriches fly ?"", 'What is an aurora ?']"
5	5	[('the earth', -0.8122510612010956), ('the center', -0.88321153819561), ('of the earth', -0.8833301290869713)]	['How fast is a 45Mhz processor ?', 'When was Ozzy Osbourne born ?']
5	5	[('elected as president', -0.7163029611110687), ('as president', -0.7245567739009857), ('get elected as president', -0.7560524195432663)]	['What exactly is radiation ?', 'What city does Orly Airport serve ?']
5	5	[('when he died', -0.6254743933677673), ('he died', -0.6568300127983093), ('elvis presley', -0.6825514435768127)]	['What exactly is radiation ?', 'What city does Orly Airport serve ?']
5	5	[('the net', -0.6891400814056396), ('in tennis', -0.7335873246192932), ('from the net', -0.748879998922348), ('the service line', -0.9038060754537582)]	['What corporation does Madonna advertise for ?', 'What corporation does Madonna advertise for ?']
5	5	[('per day', -0.7609657049179077), ('have per day', -0.8192794024944305), ('how much', -0.865269735455513)]	['What exactly is radiation ?', 'How long does a dog sleep ?']
5	5	[('are there', -0.8008380830287933), ('how many', -0.8624703586101532)]	['What exactly is radiation ?', 'What city does Orly Airport serve ?']
1	1	[('what plant', -0.6781906187534332), ('called linen', -0.6835257112979889), ('from what plant', -0.7138426899909973), ('made from what plant', -0.7490115463733673)]	"[""Why can 't ostriches fly ?"", 'What is SAP ?']"
2	2	[('te ##fl ##on', -0.8713720142841339), ('is te ##fl ##on', -0.9280459135770798)]	"[""Why can 't ostriches fly ?"", 'What is a portal ?']"
2	2	[]	"[""Why can 't ostriches fly ?"", 'What is a portal ?']"
2	2	[('a shaman', -0.8529220968484879), ('is a shaman', -0.9155428931117058), ('what is a shaman', -0.9511939324438572)]	['Where is Romania located ?', 'What is a portal ?']
1	1	[('a female wal', -0.7264014780521393), ('a female wal ##rus', -0.7522687017917633)]	['What U.S. Government agency registers trademarks ?', 'Name a tiger that is extinct']
1	1	[('of turkey ##s', -0.5956477522850037), ('turkey ##s', -0.6089431047439575)]	['Name a flying mammal', 'Name four comic strips about pilots']
5	5	[('##le sleep', -0.6228428781032562), ('rip van wink', -0.7473272383213043)]	['What exactly is radiation ?', 'What city does Orly Airport serve ?']
2	2	[]	"[""Why can 't ostriches fly ?"", 'What is a portal ?']"
5	5	[('a gallon', -0.7946774959564209), ('in a gallon', -0.8675758391618729)]	['When was Ozzy Osbourne born ?', 'What exactly is radiation ?']
3	3	[('in san francisco', -0.7368036508560181), ('san francisco', -0.7438647747039795), ('the chocolate company', -0.7449183762073517)]	['Name the tree growing company', 'Who were the 1974 Oscar winners ?']
2	2	[('amp ##hi ##bians', -0.8083463460206985), ('are amp ##hi ##bians', -0.8903401270508766)]	"[""Why can 't ostriches fly ?"", 'What is a portal ?']"
3	3	[('x - rays', -0.7668043822050095), ('discovered x - rays', -0.7896300256252289)]	['Name the largest country in South America', 'Who were the 1974 Oscar winners ?']
3	3	[('can we talk', -0.5168439149856567)]	['Name the largest country in South America', 'Who were the 1974 Oscar winners ?']
2	2	[('worn or outdated', -0.8097554743289948)]	['How do storms form ?', 'What is a portal ?']
0	2	[('in engines', -0.4830428808927536)]	"[""Why can 't ostriches fly ?"", 'What is a portal ?']"
5	5	[('elvis presley', -0.6776512265205383)]	['What city does Orly Airport serve ?', 'What province is Edmonton located in ?']
4	4	[('the capital', -0.8368302136659622), ('of yugoslavia', -0.8563366681337357)]	"[""What is `` Vocal Sampling '' ?"", ""What is `` flintknapping '' ?""]"
4	4	[('is milan', -0.868583545088768), ('where is milan', -0.9331254586577415)]	"[""What is `` Vocal Sampling '' ?"", ""What is `` flintknapping '' ?""]"
5	5	[('the speed', -0.8819504082202911), ('the speed humming', -0.938629575073719)]	['What exactly is radiation ?', 'How long does a dog sleep ?']
4	4	[('the united states', -0.9408127702772617), ('in the united states', -0.9722212832421064)]	"[""What is `` Vocal Sampling '' ?"", ""What is `` flintknapping '' ?""]"
4	4	[('moor ##head', -0.870550200343132), ('north dakota', -0.8872924149036407), ('moor ##head , minnesota', -0.9706180207431316)]	"[""What is `` Vocal Sampling '' ?"", 'What company makes impulse hardening equipment ?']"
1	1	[('do bats eat', -0.7502291351556778), ('what do bats eat', -0.78213170170784)]	"[""Why can 't ostriches fly ?"", 'What U.S. Government agency registers trademarks ?']"
4	4	[('big ##horn', -0.7987641543149948), ('of big ##horn', -0.831303596496582), ('the battle', -0.8399197161197662), ('take place in', -0.8792747333645821)]	"[""What is `` Vocal Sampling '' ?"", ""What is `` flintknapping '' ?""]"
3	3	[('abraham lincoln', -0.6573804914951324), ('was abraham lincoln', -0.6879110038280487), ('who was abraham lincoln', -0.7098909020423889)]	['Who were the 1974 Oscar winners ?', 'Name the largest country in South America']
1	1	[('a newborn kangaroo', -0.7113135457038879)]	"[""Why can 't ostriches fly ?"", 'What U.S. Government agency registers trademarks ?']"
2	2	[('spider veins', -0.7741115093231201), ('are spider veins', -0.869523823261261), ('what are spider veins', -0.9205259829759598)]	"[""Why can 't ostriches fly ?"", 'What is a portal ?']"
5	5	[('john lennon', -0.5932193398475647), ('did john lennon die', -0.6193890273571014)]	['What city does Orly Airport serve ?', 'What exactly is radiation ?']
4	4	[('north america', -0.8736913204193115), ('from asia', -0.8866348564624786)]	"[""What is `` Vocal Sampling '' ?"", ""What does `` Philebus-like '' mean ?""]"
5	5	[('of seattle', -0.8366146385669708), ('the population', -0.8534423261880875)]	['What city does Orly Airport serve ?', 'What exactly is radiation ?']
5	5	[('the titanic', -0.7242074012756348), ('a ticket', -0.7995799034833908), ('for the titanic', -0.8043327480554581)]	['What exactly is radiation ?', 'What is paracetamol ?']
4	4	[('the world', -0.8696994930505753), ('in the world', -0.9268518462777138)]	"[""What is `` Vocal Sampling '' ?"", ""What is `` flintknapping '' ?""]"
3	3	[('the music', -0.7456233203411102), ('west side story', -0.7695410698652267)]	['Name the largest country in South America', 'Who were the 1974 Oscar winners ?']
4	4	[('the america', -0.8484882414340973), ('of the america', -0.9164458885788918)]	"[""What is `` Vocal Sampling '' ?"", ""What is `` flintknapping '' ?""]"
2	2	[('the ph scale', -0.834989383816719), ('is the ph scale', -0.9047708660364151)]	"['What is a portal ?', ""Why can 't ostriches fly ?""]"
1	1	[('in australia', -0.6808139085769653), ('of currency', -0.7242034673690796), ('used in australia', -0.733812004327774), ('what type', -0.7405596673488617), ('is used in australia', -0.7729011625051498)]	['Name a flying mammal', 'Define Sinn Fein']
5	5	[('st . louis', -0.7401498258113861), ('the gateway arch', -0.8760078251361847)]	['What exactly is radiation ?', 'What city does Orly Airport serve ?']
5	5	[]	['When was Ozzy Osbourne born ?', 'What exactly is radiation ?']
3	3	[('of alaska', -0.6551575362682343)]	['Name the largest country in South America', 'Who were the 1974 Oscar winners ?']
2	2	[('a prism', -0.8061762303113937), ('is a prism', -0.8840814530849457), ('what is a prism', -0.93283262103796)]	['What is a portal ?', 'What is an aurora ?']
5	5	[]	['What exactly is radiation ?', 'What city does Orly Airport serve ?']
3	3	[('south africa', -0.6499990522861481), ('of south africa', -0.6668329834938049), ('in 1994', -0.6671883761882782), ('president of south africa', -0.6783775091171265)]	['Name the largest country in South America', 'Who were the 1974 Oscar winners ?']
5	5	[('of china', -0.8232048004865646), ('the population', -0.8479772806167603)]	['What city does Orly Airport serve ?', 'When was Ozzy Osbourne born ?']
5	5	[('rosa parks', -0.7101899683475494)]	['What city does Orly Airport serve ?', 'What province is Edmonton located in ?']
2	2	[('a lady', -0.7992793619632721)]	['Where is Romania located ?', 'What is a portal ?']
2	2	[('##ox ##ici ##llin', -0.8202951699495316)]	"[""Why can 't ostriches fly ?"", 'What is a portal ?']"
3	3	[]	['Name the largest country in South America', 'Who were the 1974 Oscar winners ?']
2	2	[]	"[""Why can 't ostriches fly ?"", 'What is a portal ?']"
4	4	[('come from', -0.8405331671237946), ('ponce de leon', -0.9228601083159447)]	"[""What is `` Vocal Sampling '' ?"", ""What is `` flintknapping '' ?""]"
1	1	[('paper currency', -0.7050860822200775), ('during which', -0.7156353294849396), ('during which war', -0.7513260096311569)]	"['What U.S. Government agency registers trademarks ?', ""Why can 't ostriches fly ?""]"
2	2	[('desktop publishing', -0.7455446720123291), ('is desktop publishing', -0.8241093456745148), ('what is desktop publishing', -0.8829263523221016)]	"[""Why can 't ostriches fly ?"", 'What is a portal ?']"
5	5	"[(""the sun ' s"", -0.8973976597189903)]"	['How fast is a 45Mhz processor ?', 'How do you reference a website ?']
5	5	[('the united nations', -0.7918557077646255), ('join the united nations', -0.8664912134408951)]	['What city does Orly Airport serve ?', 'What exactly is radiation ?']
3	3	[('the us', -0.713661402463913), ('in the us', -0.7162812352180481)]	['Name the largest country in South America', 'Who developed the first polio vaccine ?']
4	4	[('prince edward', -0.8628062307834625), ('prince edward island', -0.9374665059149265)]	"[""What is `` Vocal Sampling '' ?"", ""What is `` flintknapping '' ?""]"
5	5	[('was it discovered', -0.8755323812365532)]	['How fast is a 45Mhz processor ?', 'What exactly is radiation ?']
2	2	[('cry ##ogenic ##s', -0.8443163931369781), ('is cry ##ogenic ##s', -0.9057013019919395)]	"[""Why can 't ostriches fly ?"", 'What is a portal ?']"
2	2	[('coral reefs', -0.8043857961893082), ('are coral reefs', -0.8889524638652802), ('what are coral reefs', -0.9421680606901646)]	"[""Why can 't ostriches fly ?"", 'What is a portal ?']"
5	1	[('baseball - winning', -0.8413229137659073)]	['How long does a dog sleep ?', 'Who won World War II ?']
2	2	[('ne ##uro ##logy', -0.8588313013315201), ('is ne ##uro ##logy', -0.9161800518631935)]	['What is a portal ?', 'Where is Romania located ?']
3	3	[]	['Name the largest country in South America', 'Who were the 1974 Oscar winners ?']
2	2	[('measure earthquakes', -0.7900330722332001)]	['Where is Romania located ?', 'What is a portal ?']
3	3	[('duke ellington', -0.6731641590595245), ('is duke ellington', -0.703524649143219), ('who is duke ellington', -0.7295985519886017)]	['Who were the 1974 Oscar winners ?', 'Name the largest country in South America']
4	4	[('phoenix , az', -0.9175525084137917), ('phoenix , az in', -0.9552630260586739)]	"[""What is `` Vocal Sampling '' ?"", ""What does `` Philebus-like '' mean ?""]"
2	2	[]	"[""Why can 't ostriches fly ?"", 'What is a portal ?']"
5	5	[('the temperature', -0.8627205193042755), ('is the temperature', -0.9404792822897434), ('what is the temperature', -0.9776049684733152)]	['How fast is a 45Mhz processor ?', 'What is a virtual IP address ?']
1	1	[('ohio state', -0.7050751447677612)]	"['Name a flying mammal', ""Why can 't ostriches fly ?""]"
5	5	[]	['What city does Orly Airport serve ?', 'What province is Edmonton located in ?']
4	4	[('the u . s', -0.9807275589555502)]	"[""What is `` Vocal Sampling '' ?"", ""Who was Tiny Tim 's father ?""]"
1	1	[('a poison arrow frog', -0.5984315872192383), ('poison arrow', -0.6219955682754517)]	"[""Why can 't ostriches fly ?"", 'Name a flying mammal']"
2	2	[]	"[""Why can 't ostriches fly ?"", 'What is a portal ?']"
5	5	[('the state', -0.7161841690540314), ('of alaska', -0.7304971814155579), ('the state of alaska', -0.7982673645019531), ('the coastline', -0.8353231698274612)]	['How many watts make a kilowatt ?', 'How much does a poodle weigh ?']
3	3	"[(""neil armstrong ' s"", -0.7888764441013336)]"	"['Name the largest country in South America', ""Name Alvin 's brothers""]"
1	1	[]	"[""Why can 't ostriches fly ?"", 'What U.S. Government agency registers trademarks ?']"
3	3	[('in 1989', -0.7098227143287659)]	['Name the largest country in South America', 'Who were the 1974 Oscar winners ?']
5	5	[]	['What city does Orly Airport serve ?', 'What province is Edmonton located in ?']
1	1	[]	"[""Why can 't ostriches fly ?"", 'What U.S. Government agency registers trademarks ?']"
5	5	[('the world series', -0.7969421297311783), ('won the world series', -0.8441912680864334), ('the chicago cubs', -0.851184144616127)]	['How much does a poodle weigh ?', 'How many acres in a mile ?']
4	4	[('is perth', -0.866256982088089), ('where is perth', -0.9278492704033852)]	"[""What is `` Vocal Sampling '' ?"", ""What is `` flintknapping '' ?""]"
5	5	[('did wwii begin', -0.8787292093038559)]	['What exactly is radiation ?', 'What city does Orly Airport serve ?']
5	5	[('a golf ball', -0.8159149289131165), ('of a golf ball', -0.8926961869001389)]	['How fast is a 45Mhz processor ?', 'How many quarters equal a pound ?']
2	2	[('an eclipse', -0.8008010983467102), ('is an eclipse', -0.8832386806607246), ('what is an eclipse', -0.9315134584903717)]	"['What is a portal ?', ""Why can 't ostriches fly ?""]"
3	3	[('discovered america', -0.7486158013343811), ('who discovered america', -0.7782240808010101)]	['Name the largest country in South America', 'Who were the 1974 Oscar winners ?']
5	5	[]	['How fast is a 45Mhz processor ?', 'How many quarters equal a pound ?']
3	3	[('was unmarried', -0.698258101940155), ('which president', -0.7254197001457214), ('which president was unmarried', -0.7617042064666748)]	['Who were the 1974 Oscar winners ?', 'Name the largest country in South America']
5	5	[('milky way', -0.7825290262699127), ('the milky way galaxy', -0.8923607841134071)]	['What exactly is radiation ?', 'How long does a dog sleep ?']
5	5	[('most thunder ##storm ##s', -0.7859604507684708), ('which season', -0.8483038991689682)]	['How fast is a 45Mhz processor ?', 'How do you use an intranet ?']
2	2	[('is wimbledon', -0.835055410861969), ('what is wimbledon', -0.9004731997847557)]	['What is a portal ?', 'Where is Romania located ?']
5	5	[('a cat', -0.6911608874797821), ('for a cat', -0.7309886813163757)]	['How fast is a 45Mhz processor ?', 'How many watts make a kilowatt ?']
5	5	[('a nautical mile', -0.9173812344670296), ('is a nautical mile', -0.9642184041440487)]	['What exactly is radiation ?', 'When was Ozzy Osbourne born ?']
3	3	"[(""harper ' s ferry"", -0.5920908153057098), ('in 1859', -0.602777898311615), ('the raid', -0.6121116280555725), (""harper ' s"", -0.635911613702774)]"	['Who were the 1974 Oscar winners ?', 'Name the largest country in South America']
2	2	[]	['Where is Romania located ?', 'What is a portal ?']
1	1	[('into space', -0.7190774381160736), ('go into space', -0.7502374351024628), ('to go into space', -0.7829455435276031)]	"['Name a flying mammal', ""Why can 't ostriches fly ?""]"
2	2	[]	"['What is a portal ?', ""Why can 't ostriches fly ?""]"
2	1	[('near kentucky', -0.789768323302269)]	['What is a portal ?', 'Where is Romania located ?']
4	4	[('the holland tunnel', -0.911288857460022)]	"[""What is `` Vocal Sampling '' ?"", ""What is `` flintknapping '' ?""]"
3	3	[('amazing grace', -0.6120105683803558)]	['Name the largest country in South America', 'Who were the 1974 Oscar winners ?']
3	3	[('willie davis', -0.6822437942028046), ('play in baseball', -0.7026205062866211), ('in baseball', -0.7106736600399017)]	['Name the largest country in South America', 'How many maids were milking ?']
2	2	[('plate ##lets', -0.7475769519805908), ('are plate ##lets', -0.8528460711240768), ('what are plate ##lets', -0.9161537885665894)]	"[""Why can 't ostriches fly ?"", 'What is a portal ?']"
2	2	[('se ##verance pay', -0.8299413323402405), ('is se ##verance pay', -0.9063095524907112)]	"[""Why can 't ostriches fly ?"", 'What is a portal ?']"
1	1	"[(""roy roger ' s"", -0.6895362734794617)]"	['Name a flying mammal', 'Name a tiger that is extinct']
4	4	[('the national archives', -0.8915656954050064)]	"[""What is `` Vocal Sampling '' ?"", ""What is `` flintknapping '' ?""]"
1	1	[('a baby turkey', -0.6677801609039307)]	['Name a flying mammal', 'Name a tiger that is extinct']
2	2	[]	"[""Why can 't ostriches fly ?"", 'What is a portal ?']"
1	1	[('the human body', -0.717695027589798), ('in the human body', -0.7601555287837982)]	"[""Why can 't ostriches fly ?"", 'Name a flying mammal']"
3	3	[('a german philosopher', -0.736721396446228), ('is a german philosopher', -0.7778070271015167)]	"['Name the largest country in South America', ""Name Alvin 's brothers""]"
1	1	[]	['Name a flying mammal', 'Name four comic strips about pilots']
2	2	[]	"[""Why can 't ostriches fly ?"", 'What is a portal ?']"
2	2	[('nico ##tine', -0.8096866458654404), ('is nico ##tine', -0.8819814473390579), ('what is nico ##tine', -0.9301816076040268)]	"['What is a portal ?', ""Why can 't ostriches fly ?""]"
1	1	[('for vitamin b1', -0.6725971400737762), ('vitamin b1', -0.676256537437439)]	['What U.S. Government agency registers trademarks ?', 'How much does a poodle weigh ?']
3	3	[('ra ##dium', -0.8144025355577469), ('discovered ra ##dium', -0.8314350694417953), ('who discovered ra ##dium', -0.8563963770866394)]	['Name the largest country in South America', 'Who were the 1974 Oscar winners ?']
2	2	[('suns ##pot ##s', -0.7886033952236176)]	"[""Why can 't ostriches fly ?"", 'What is a portal ?']"
5	5	[('algeria colon', -0.784839078783989)]	['What city does Orly Airport serve ?', 'What exactly is radiation ?']
3	3	[('part of their uniform', -0.40903353691101074), ('of their uniform', -0.48820793628692627), ('their uniform', -0.5777276754379272), ('the first', -0.6991448998451233)]	['Name the largest country in South America', 'Who were the 1974 Oscar winners ?']
4	4	[('is egypt on', -0.9037699922919273)]	"[""What does `` Philebus-like '' mean ?"", ""What is `` Vocal Sampling '' ?""]"
4	4	[('the capital', -0.8401317745447159), ('of mongolia', -0.8573292195796967)]	"[""What is `` Vocal Sampling '' ?"", ""What is `` flintknapping '' ?""]"
2	2	[('nano ##tech ##nology', -0.8540394604206085), ('is nano ##tech ##nology', -0.904022827744484)]	"[""Why can 't ostriches fly ?"", 'What is a portal ?']"
4	4	[('which colony', -0.880312979221344), ('##ulate which colony', -0.9457101747393608)]	"[""What are `` inkhorn terms '' ?"", ""What is `` Vocal Sampling '' ?""]"
